ZONA;NOM_LOCALIDADE;NOM_LOCAL;ENDEREÇO_LOCAL;BAIRRO_LOCAL;CEP;NÚMERO DAS SEÇÕES;QTDE. DE SEÇÕES;APTOS
154;FEIRA DE SANTANA;ESCOLA MUNICIPAL PROFESSORA JULIETA FRUTUOSO DE ARAÚJO;TRAVESSA LÚCIO CERQUEIRA, S/N, SEDE - ZONA RURAL;DISTRITO DE TIQUARUÇU;44140000;277,279,281;3;1174
154;FEIRA DE SANTANA;ESCOLA SÃO JOÃO DA ESCαCIA;AVENIDA MARIA QUITÉRIA , 2836 - ZONA URBANA;QUEIMADINHA;44050368;283,284,285,286,287,288,289,290,291,292;10;4168
154;FEIRA DE SANTANA;ESCOLA MUNICIPAL ANDRÉ CUSTαDIO FERREIRA;PRAÇA DO POVOADO SOCORRO - ZONA RURAL;DISTRITO DE TIQUARUÇU;44140000;293,294;2;764
154;FEIRA DE SANTANA;ESCOLA MUNICIPAL JOANITA MOTA;TRAVESSA LÚCIO CERQUEIRA, S/N - ZONA RURAL;DISTRITO DE TIQUARUÇU;44140000;295,297;2;535
154;FEIRA DE SANTANA;ESCOLA MUNICIPAL GODOFREDO COUTINHO PEREIRA;BR 116 NORTE, S/N - POVOADO SÃO CRISTαVÃO - ZONA RURAL;DISTRITO DE TIQUARUÇU;44140000;299,300,301,350;4;1532
154;FEIRA DE SANTANA;ESCOLA MUNICIPAL MARIA AMÁLIA MARTINS DALTRO COELHO;POVOADO MANTIBA - ZONA RURAL;DISTRITO DE JAÍBA;44115000;302,303,304;3;903
154;FEIRA DE SANTANA;ESCOLA MUNICIPAL ANÍSIO PEREIRA BERNARDES;RUA ANÍSIO PEREIRA BERNARDES, S/N - ZONA RURAL;DISTRITO DE MATINHA;44118000;305,306,307,308;4;1324
154;FEIRA DE SANTANA;ESCOLA MUNICIPAL JOAQUIM PEREIRA DOS SANTOS;POVOADO CANDEAL II, SN - ZONA RURAL;DISTRITO DE MATINHA;44118000;309,310,323;3;1059
154;FEIRA DE SANTANA;ESCOLA  MUNICIPAL CRISPINIANO FERREIRA DA SILVA;POVOADO OLHOS D'ÁGUA DAS MOÇAS - ZONA RURAL;DISTRITO DE MATINHA;44110000;311,312,313;3;1262
154;FEIRA DE SANTANA;ESCOLA MUNICIPAL ROSA MARIA ESPERIDIÃO LEITE;RUA ANÍSIO PEREIRA, S/N - ZONA RURAL;DISTRITO DE MATINHA;44110000;314,315,316,317,318,319,320,321,352;9;3391
154;FEIRA DE SANTANA;ESCOLA MUNICIPAL ANTΓNIO GONÇALVES DA SILVA;RUA TIJUCA, 1355 - ZONA URBANA;PARQUE IPÊ;44054394;335,339,341,344,349,354,357,362;8;3368
154;FEIRA DE SANTANA;ESCOLA MUNICIPAL THEαDULO BASTOS DE CARVALHO JUNIOR;RUA JOSÉ SANDOVAL DO CARMO, SN - ZONA URBANA;MANGABEIRA;44057128;337,340,342,343,347,351,355,360,363,366;10;4202
154;FEIRA DE SANTANA;ESCOLA MUNICIPAL DOUTOR CELSO RIBEIRO DALTRO;PRAÇA CATARINO BRITO DOS SANTOS, SN - ZONA URBANA;QUEIMADINHA;44050732;142,143,144,145,146,212,269,334,338;9;2739
154;FEIRA DE SANTANA;ESCOLA MUNICIPAL EMILIANA SOUZA OLIVEIRA;RUA MANTENαPOLIS, SN - ZONA URBANA;CONCEIÇÃO;44065578;345,348,353,356,359,361,364,367,369;9;3681
154;FEIRA DE SANTANA;CENTRO DE EDUCAÇÃO BÁSICA DA UEFS;RUA TOSTÃO, SN - ZONA URBANA;CIDADE NOVA;44053438;189,199,346,358,365,368,370,371,375;9;3346
154;FEIRA DE SANTANA;FACULDADE CATαLICA DE FEIRA DE SANTANA;AV. DOM JACKSON BERENGUER PRADO, S/N - ZONA URBANA;PAPAGAIO;44059850;373,38;2;715
155;FEIRA DE SANTANA;COLÉGIO JOÃO DURVAL CARNEIRO;AVENIDA JOAO DURVAL CARNEIRO SN - ZONA URBANA;CASEB;44037000;1,2,3,4,5,6,7,8,9,10,174,183,194;13;4211
155;FEIRA DE SANTANA;COLEGIO ESTADUAL JUIZ JORGE FARIAS GOES;RUA MOGI DAS CRUZES S/N - ZONA URBANA;CAMPO DO GADO VELHO;44038290;11,12,13,14,15,16,17,18,19,20,21,188,203;13;3203
155;FEIRA DE SANTANA;ESCOLA PADRE VIEIRA;RUA 1 DE MAIO S/N - ZONA URBANA  ;CORONEL JOSÉ PINTO;44035190;29,30,31,32,33,34,35,36,37;9;3170
155;FEIRA DE SANTANA;CENTRO EDUCACIONAL ODORICO TAVARES;RUA JAPAO, S/N - ZONA URBANA;CASEB;44026000;55,56,57,58,59,60,61,62,63,64,65,66,67,68,173,177,180;17;7221
155;FEIRA DE SANTANA;ESCOLA HORÁCIO SILVA BASTOS;RUA PIRACICABA, S/N - ZONA URBANA;CASEB;44001001;191,208,212,216,287,291,297;7;2638
155;FEIRA DE SANTANA;ESCOLA PROFESSORA TECLA MELLO;AVENIDA CENTENARIO, 697 - ZONA URBANA;S. I. M.;44085132;73,74,75,76,77,192;6;2168
155;FEIRA DE SANTANA;CEEP - CENTRO  ESTADUAL DE EDUCAÇÃO PROFISSIONAL ÁUREO DE O. FILHO;RUA BRUXELAS S/N - ZONA URBANA;SANTA MONICA;44077790;78,79,80,81,82,83,84,85,86,87,88,186;12;5058
155;FEIRA DE SANTANA;CENTRO DE EDUCAÇÃO MONTEIRO LOBATO;RUA JOSÉ PEREIRA MASCARENHAS - ZONA URBANA;CAPUCHINHOS;44058970;89,90,91,92,93,94,95,96,97,98,99,100;12;2928
155;FEIRA DE SANTANA;COLÉGIO SANTO ANTONIO;AVENIDA PRESIDENTE DUTRA, S/N - ZONA URBANA;CAPUCHINHOS;44076160;50,51,52,53,54,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,176,184,196,197,201;26;9369
155;FEIRA DE SANTANA;COLÉGIO ESTADUAL SANTO ANTΓNIO;RUA CONEGO CUPERTINO LACERDA S/N - ZONA URBANA;BRASÍLIA;44001001;118,119,120,121,122,123,124,125,126,127,178,193,206,214;14;4825
